VR ID,Bid ID,Lane,CPT,,Volume (cuft),Status,SDT Time,,
112XXCNHG,,OAK4->ONT5,9/14/2018,1:15:00,1916.99,COMPLETED,9/14/2018,12:30:00,AM
11319JV6D,,OAK4->ONT5,9/14/2018,1:15:00,1079.99,COMPLETED,9/14/2018,1:15:00,AM
114NNGWB5,,OAK4->ONT5,9/15/2018,1:15:00,1920.95,COMPLETED,9/14/2018,10:30:00,PM
112HRWW6P,,OAK4->ONT5,9/15/2018,1:15:00,1299.13,COMPLETED,9/15/2018,1:15:00,AM
114PYLBS1,,OAK4->ONT5,9/16/2018,1:15:00,1875.96,COMPLETED,9/16/2018,12:27:00,AM
1128VMMKG,,OAK4->ONT5,9/16/2018,1:15:00,1359.56,COMPLETED,9/16/2018,1:15:00,AM
115PLZJ2D,,OAK4->ONT5,9/17/2018,1:15:00,1412.56,COMPLETED,9/17/2018,1:15:00,AM
115YQBMQZ,,OAK4->ONT5,9/17/2018,1:15:00,1955.81,COMPLETED,9/16/2018,11:30:00,PM
111XMRMCZ,,OAK4->ONT5,9/18/2018,1:15:00,1521.41,COMPLETED,9/18/2018,1:15:00,AM
115DG4KY6,,OAK4->ONT5,9/18/2018,1:15:00,1878.74,COMPLETED,9/17/2018,11:30:00,PM
112GM51H9,,OAK4->ONT5,9/19/2018,1:15:00,2059.27,COMPLETED,9/18/2018,11:30:00,PM
111CXPS64,,OAK4->ONT5,9/19/2018,1:15:00,1410.98,COMPLETED,9/19/2018,1:15:00,AM
116P56V6Q,,OAK4->ONT5,9/20/2018,1:15:00,1630.87,COMPLETED,9/20/2018,1:15:00,AM
116PHR1ZD,,OAK4->ONT5,9/20/2018,1:15:00,2128.13,COMPLETED,9/20/2018,12:27:00,AM
113V4FZ5P,15464842,OAK4->ONT5,9/21/2018,1:15:00,1581.2,COMPLETED,9/21/2018,12:00:00,AM
11692WTGG,,OAK4->ONT5,9/21/2018,1:15:00,925.23,COMPLETED,9/21/2018,1:15:00,AM
114TL6BRH,,OAK4->ONT5,9/21/2018,1:15:00,,CANCELLED,9/20/2018,11:30:00,PM
112972KZH,,OAK4->ONT5,9/22/2018,1:15:00,2073,COMPLETED,9/22/2018,1:15:00,AM
115T3Y2SG,,OAK4->ONT5,9/22/2018,1:15:00,,CANCELLED,9/22/2018,12:30:00,AM
114VPFQ7C,FindWork,OAK4->ONT5,9/23/2018,1:15:00,982.76,COMPLETED,9/23/2018,1:15:00,AM
1168M8LVM,,OAK4->ONT5,9/23/2018,1:15:00,2163.54,COMPLETED,9/23/2018,1:15:00,AM
116MFWR19,FindWork,OAK4->ONT5,9/24/2018,1:15:00,1117.4,COMPLETED,9/24/2018,1:15:00,AM
111XFXX5K,,OAK4->ONT5,9/24/2018,1:15:00,1404.7,COMPLETED,9/24/2018,1:15:00,AM
116R7F1JT,,OAK4->ONT5,9/25/2018,1:15:00,1329.73,COMPLETED,9/25/2018,1:15:00,AM
114V3C2RK,,OAK4->ONT5,9/25/2018,1:15:00,665.64,COMPLETED,9/25/2018,1:15:00,AM
115PHGZB4,FindWork,OAK4->ONT5,9/26/2018,1:15:00,1938.65,COMPLETED,9/26/2018,12:30:00,AM
1169GLYV9,,OAK4->ONT5,9/26/2018,1:15:00,1088.54,COMPLETED,9/26/2018,1:15:00,AM
111MBQ2HM,,OAK4->ONT5,9/27/2018,1:15:00,1917.96,COMPLETED,9/27/2018,1:06:00,AM
111XDQZR1,,OAK4->ONT5,9/27/2018,1:15:00,806.46,COMPLETED,9/27/2018,1:15:00,AM
116TNCYSY,FindWork,OAK4->ONT5,9/28/2018,1:15:00,1833.32,COMPLETED,9/28/2018,1:15:00,AM
112H456Q4,,OAK4->ONT5,9/28/2018,1:15:00,,CANCELLED,9/28/2018,1:15:00,AM
114SKSM1H,FindWork,OAK4->ONT5,9/28/2018,1:15:00,,CANCELLED,9/28/2018,12:30:00,AM
112KZ7BKC,,OAK4->ONT5,9/29/2018,1:15:00,2017.39,COMPLETED,9/29/2018,12:30:00,AM
114PGRJS8,,OAK4->ONT5,9/29/2018,1:15:00,481.6,COMPLETED,9/29/2018,1:15:00,AM
1125MFFDL,,OAK4->ONT5,9/30/2018,1:15:00,1057.6,COMPLETED,9/30/2018,1:15:00,AM
1141N1B2W,,OAK4->ONT5,9/30/2018,1:15:00,2193.21,COMPLETED,9/30/2018,12:27:00,AM
116P7P4ZF,,BOS7->BOS5,9/3/2018 5:00,,2788.5,COMPLETED,9/3/2018 5:00,,
114K7R2MN,14567652,BOS7->BOS5,9/3/2018 5:00,,2732.33,COMPLETED,9/3/2018 5:00,,
114J2JKCW,14593632,BOS7->BOS5,9/3/2018 5:00,,,CANCELLED,9/3/2018 9:15,,
1123BMMMB,FindWork,BOS7->BOS5,9/3/2018 5:00,,436.68,COMPLETED,9/3/2018 5:00,,
115NHSN7B,,BOS7->BOS5,9/3/2018 5:00,,2486.09,COMPLETED,9/2/2018 20:15,,
112HL5NXB,,BOS7->BOS5,9/3/2018 5:00,,2704.4,COMPLETED,9/3/2018 2:15,,
11159THXW,,BOS7->BOS5,9/3/2018 5:00,,2794.51,COMPLETED,9/2/2018 23:15,,
11672YWMH,,BOS7->BOS5,9/3/2018 5:00,,1788.78,COMPLETED,9/2/2018 18:14,,
1114P9B47,,BOS7->BOS5,9/4/2018 5:00,,1169.53,COMPLETED,9/3/2018 17:15,,
111VGSG22,,BOS7->BOS5,9/4/2018 5:00,,2347.69,COMPLETED,9/3/2018 14:15,,
111LK723J,,TEB3->EWR8,9/3/2018 4:30,,2799.58,COMPLETED,9/3/2018 3:51,,
113LY4KM9,FindWork,TEB3->EWR8,9/3/2018 4:30,,2824.37,COMPLETED,9/3/2018 4:30,,
1158G8G1K,FindWork,TEB3->EWR8,9/3/2018 4:30,,2884.59,COMPLETED,9/3/2018 4:30,,
115L529DY,,TEB3->EWR8,9/3/2018 4:30,,2564.68,COMPLETED,9/3/2018 4:30,,
111H9JNBC,,OAK3->OAK5,9/3/2018 14:00,,2690.2,COMPLETED,9/3/2018 2:17,,
1128F56LF,,OAK3->OAK5,9/3/2018 14:00,,2317.5,COMPLETED,9/3/2018 11:45,,
113B5XDGD,,OAK3->OAK5,9/3/2018 14:00,,2097.3,COMPLETED,9/3/2018 4:47,,
114K5Z7GF,,OAK3->OAK5,9/3/2018 14:00,,1937.43,COMPLETED,9/3/2018 14:00,,
114WC6RQJ,14584632,OAK3->OAK5,9/3/2018 14:00,,1080.59,COMPLETED,9/3/2018 14:00,,
1165J4NLY,,OAK3->OAK5,9/3/2018 14:00,,2410.28,COMPLETED,9/3/2018 10:12,,
11254Z64L,,BWI2->EWR8,9/4/2018 3:00,,2511.62,COMPLETED,9/3/2018 18:15,,
112QQB99M,,BWI2->EWR8,9/3/2018 3:00,,1896.9,COMPLETED,9/3/2018 0:15,,
1131XG13C,,BWI2->EWR8,9/3/2018 3:00,,1616.97,COMPLETED,9/3/2018 3:00,,
113RWKSRN,,BWI2->EWR8,9/3/2018 3:00,,1997.64,COMPLETED,9/2/2018 18:54,,
114TX2W2D,14585232,BWI2->EWR8,9/3/2018 3:00,,352.44,COMPLETED,9/3/2018 4:10,,
1156R54M5,,BWI2->EWR8,9/3/2018 3:00,,1603.71,COMPLETED,9/2/2018 21:46,,
111BP9B3R,,CMH1->CVG9,9/4/2018 0:00,,1891.94,COMPLETED,9/3/2018 18:15,,
111MSK1Y3,,CMH1->CVG9,9/3/2018 0:00,,1991.27,COMPLETED,9/2/2018 19:15,,
113LC11WV,,CMH1->CVG9,9/4/2018 0:00,,1804.55,COMPLETED,9/3/2018 15:15,,
115YYZX88,,CMH1->CVG9,9/3/2018 0:00,,542.5,COMPLETED,9/3/2018 0:00,,
116P75B7V,,CMH1->CVG9,9/3/2018 0:00,,1889.19,COMPLETED,9/2/2018 22:15,,
111B8H7KX,,DFW7->CVG9,9/3/2018 18:00,,2283.3,COMPLETED,9/3/2018 18:00,,
111ZT9BH4,FindWork,DFW7->CVG9,9/2/2018 18:00,,1176.76,COMPLETED,9/2/2018 18:00,,
112BSBHLH,14600052,DFW7->CVG9,9/3/2018 18:00,,1185.69,COMPLETED,9/3/2018 18:00,,
112KWLVCT,,DFW7->CVG9,9/2/2018 18:00,,2157.15,COMPLETED,9/2/2018 18:00,,
112SWQQNS,,DFW7->CVG9,9/3/2018 18:00,,,CANCELLED,9/3/2018 18:00,,
114HW1YRM,,DFW7->CVG9,9/2/2018 18:00,,,CANCELLED,9/2/2018 18:00,,
112XY4348,,EWR4->EWR8,9/3/2018 2:00,,1986,COMPLETED,9/2/2018 20:15,,
112ZXGS3Q,,EWR4->EWR8,9/4/2018 2:00,,1735.78,COMPLETED,9/3/2018 17:57,,
11326D9C5,14581042,EWR4->EWR8,9/3/2018 2:00,,459.7,COMPLETED,9/3/2018 3:15,,
113YZRTGP,,EWR4->EWR8,9/4/2018 2:00,,1957.79,COMPLETED,9/3/2018 14:59,,
114CL349F,,EWR4->EWR8,9/3/2018 2:00,,1857.64,COMPLETED,9/2/2018 23:15,,
114K6SV23,,EWR4->EWR8,9/3/2018 2:00,,1204.84,COMPLETED,9/2/2018 18:15,,
1156ST1LJ,,EWR4->EWR8,9/3/2018 2:00,,1932.09,COMPLETED,9/3/2018 2:00,,
112L7XK6K,,EWR9->EWR8,9/3/2018 18:00,,1701.54,COMPLETED,9/3/2018 10:57,,
112XCGB81,,EWR9->EWR8,9/3/2018 18:00,,1378.7,COMPLETED,9/3/2018 18:00,,
11432Y9SK,,EWR9->EWR8,9/3/2018 18:00,,2136.31,COMPLETED,9/2/2018 18:00,,
114JRQWMP,,EWR9->EWR8,9/3/2018 18:00,,2101.39,COMPLETED,9/3/2018 15:45,,
115Q5K552,,EWR9->EWR8,9/3/2018 18:00,,1868.84,COMPLETED,9/3/2018 14:09,,
1117T8L5X,,JAX2->ATL6,9/3/2018 10:00,,1170.24,COMPLETED,9/3/2018 0:09,,
112J8CH2Q,FindWork,JAX2->ATL6,9/3/2018 10:00,,1165,COMPLETED,9/3/2018 2:18,,
1132QXB8X,,JAX2->ATL6,9/3/2018 10:00,,958.09,COMPLETED,9/3/2018 5:17,,
11436KBP8,,JAX2->ATL6,9/3/2018 10:00,,2167.82,COMPLETED,9/2/2018 22:30,,
115Z32PLK,,JAX2->ATL6,9/3/2018 10:00,,871.94,COMPLETED,9/3/2018 10:00,,
113FGQWXB,FindWork,LGB4->ONT5,9/3/2018 14:00,,2582.68,COMPLETED,9/3/2018 14:00,,
1145DFZT7,,LGB4->ONT5,9/3/2018 14:00,,,CANCELLED,9/3/2018 14:00,,
114GWNG3Z,,LGB4->ONT5,9/3/2018 14:00,,2617.77,COMPLETED,9/3/2018 13:15,,
115JN6LHG,,LGB4->ONT5,9/3/2018 14:00,,2403.51,COMPLETED,9/3/2018 14:00,,
111CYBSBC,,RIC1->ACY5,9/3/2018 2:00,,2634.83,COMPLETED,9/3/2018 2:00,,
112QC4WD2,,RIC1->ACY5,9/3/2018 2:00,,,CANCELLED,9/3/2018 0:02,,
1116NFYTV,,TPA1->MIA5,9/2/2018 20:00,,,CANCELLED,9/2/2018 20:00,,
111D77QMN,FindWork,TPA1->MIA5,9/2/2018 20:00,,2028.98,COMPLETED,9/3/2018 1:15,,
111DX1JTK,14581842,TPA1->MIA5,9/2/2018 20:00,,1080.13,COMPLETED,9/3/2018 4:30,,
112RY2QW9,,TPA1->MIA5,9/2/2018 20:00,,2249.04,COMPLETED,9/2/2018 14:30,,
113K2ZNWL,,TPA1->MIA5,9/2/2018 20:00,,1855.38,COMPLETED,9/3/2018 11:45,,
113N6HMDQ,,TPA1->MIA5,9/2/2018 20:00,,1657.12,COMPLETED,9/3/2018 14:30,,
113Z7B8M4,FindWork,TPA1->MIA5,9/2/2018 20:00,,1841.81,COMPLETED,9/3/2018 4:00,,
